Month,L,M,S,SD,0.1st,1st,3rd,5th,10th,15th,25th,50th,75th,85th,90th,95th,97th,99th,99.9th
0,1,49.8842,0.03795,1.8931,44,45.5,46.3,46.8,47.5,47.9,48.6,49.9,51.2,51.8,52.3,53,53.4,54.3,55.7
1,1,54.7244,0.03557,1.9465,48.7,50.2,51.1,51.5,52.2,52.7,53.4,54.7,56,56.7,57.2,57.9,58.4,59.3,60.7
2,1,58.4249,0.03424,2.0005,52.2,53.8,54.7,55.1,55.9,56.4,57.1,58.4,59.8,60.5,61,61.7,62.2,63.1,64.6
3,1,61.4292,0.03328,2.0444,55.1,56.7,57.6,58.1,58.8,59.3,60.1,61.4,62.8,63.5,64,64.8,65.3,66.2,67.7
4,1,63.886,0.03257,2.0808,57.5,59,60,60.5,61.2,61.7,62.5,63.9,65.3,66,66.6,67.3,67.8,68.7,70.3
5,1,65.9026,0.03204,2.1115,59.4,61,61.9,62.4,63.2,63.7,64.5,65.9,67.3,68.1,68.6,69.4,69.9,70.8,72.4
6,1,67.6236,0.03165,2.1403,61,62.6,63.6,64.1,64.9,65.4,66.2,67.6,69.1,69.8,70.4,71.1,71.6,72.6,74.2
7,1,69.1645,0.03139,2.1711,62.5,64.1,65.1,65.6,66.4,66.9,67.7,69.2,70.6,71.4,71.9,72.7,73.2,74.2,75.9
8,1,70.5994,0.03124,2.2055,63.8,65.5,66.5,67,67.8,68.3,69.1,70.6,72.1,72.9,73.4,74.2,74.7,75.7,77.4
9,1,71.9687,0.03117,2.2433,65,66.8,67.7,68.3,69.1,69.6,70.5,72,73.5,74.3,74.8,75.7,76.2,77.2,78.9
10,1,73.2812,0.03118,2.2849,66.2,68,69,69.5,70.4,70.9,71.7,73.3,74.8,75.6,76.2,77,77.6,78.6,80.3
11,1,74.5388,0.03125,2.3293,67.3,69.1,70.2,70.7,71.6,72.1,73,74.5,76.1,77,77.5,78.4,78.9,80,81.7
12,1,75.7488,0.03137,2.3762,68.4,70.2,71.3,71.8,72.7,73.3,74.1,75.7,77.4,78.2,78.8,79.7,80.2,81.3,83.1
13,1,76.9186,0.03154,2.426,69.4,71.3,72.4,72.9,73.8,74.4,75.3,76.9,78.6,79.4,80,80.9,81.5,82.6,84.4
14,1,78.0497,0.03174,2.4773,70.4,72.3,73.4,74,74.9,75.5,76.4,78,79.7,80.6,81.2,82.1,82.7,83.8,85.7
15,1,79.1458,0.03197,2.5303,71.3,73.3,74.4,75,75.9,76.5,77.4,79.1,80.9,81.8,82.4,83.3,83.9,85,87
16,1,80.2113,0.03222,2.5844,72.2,74.2,75.4,76,76.9,77.5,78.5,80.2,82,82.9,83.5,84.5,85.1,86.2,88.2
17,1,81.2487,0.0325,2.6406,73.1,75.1,76.3,76.9,77.9,78.5,79.5,81.2,83,84,84.6,85.6,86.2,87.4,89.4
18,1,82.2587,0.03279,2.6973,73.9,76,77.2,77.8,78.8,79.5,80.4,82.3,84.1,85.1,85.7,86.7,87.3,88.5,90.6
19,1,83.2418,0.0331,2.7553,74.7,76.8,78.1,78.7,79.7,80.4,81.4,83.2,85.1,86.1,86.8,87.8,88.4,89.7,91.8
20,1,84.1996,0.03342,2.814,75.5,77.7,78.9,79.6,80.6,81.3,82.3,84.2,86.1,87.1,87.8,88.8,89.5,90.7,92.9
21,1,85.1348,0.03376,2.8742,76.3,78.4,79.7,80.4,81.5,82.2,83.2,85.1,87.1,88.1,88.8,89.9,90.5,91.8,94
22,1,86.0477,0.0341,2.9342,77,79.2,80.5,81.2,82.3,83,84.1,86,88,89.1,89.8,90.9,91.6,92.9,95.1
23,1,86.941,0.03445,2.9951,77.7,80,81.3,82,83.1,83.8,84.9,86.9,89,90,90.8,91.9,92.6,93.9,96.2
24,1,87.8161,0.03479,3.0551,78.4,80.7,82.1,82.8,83.9,84.6,85.8,87.8,89.9,91,91.7,92.8,93.6,94.9,97.3
25,1,87.972,0.03542,3.116,78.3,80.7,82.1,82.8,84,84.7,85.9,88,90.1,91.2,92,93.1,93.8,95.2,97.6
26,1,88.8065,0.03576,3.1757,79,81.4,82.8,83.6,84.7,85.5,86.7,88.8,90.9,92.1,92.9,94,94.8,96.2,98.6
27,1,89.6197,0.0361,3.2353,79.6,82.1,83.5,84.3,85.5,86.3,87.4,89.6,91.8,93,93.8,94.9,95.7,97.1,99.6
28,1,90.412,0.03642,3.2928,80.2,82.8,84.2,85,86.2,87,88.2,90.4,92.6,93.8,94.6,95.8,96.6,98.1,100.6
29,1,91.1828,0.03674,3.3501,80.8,83.4,84.9,85.7,86.9,87.7,88.9,91.2,93.4,94.7,95.5,96.7,97.5,99,101.5
30,1,91.9327,0.03704,3.4052,81.4,84,85.5,86.3,87.6,88.4,89.6,91.9,94.2,95.5,96.3,97.5,98.3,99.9,102.5
31,1,92.6631,0.03733,3.4591,82,84.6,86.2,87,88.2,89.1,90.3,92.7,95,96.2,97.1,98.4,99.2,100.7,103.4
32,1,93.3753,0.03761,3.5118,82.5,85.2,86.8,87.6,88.9,89.7,91,93.4,95.7,97,97.9,99.2,100,101.5,104.2
33,1,94.0711,0.03787,3.5625,83.1,85.8,87.4,88.2,89.5,90.4,91.7,94.1,96.5,97.8,98.6,99.9,100.8,102.4,105.1
34,1,94.7532,0.03812,3.612,83.6,86.4,88,88.8,90.1,91,92.3,94.8,97.2,98.5,99.4,100.7,101.5,103.2,105.9
35,1,95.4236,0.03836,3.6604,84.1,86.9,88.5,89.4,90.7,91.6,93,95.4,97.9,99.2,100.1,101.4,102.3,103.9,106.7
36,1,96.0835,0.03858,3.7069,84.6,87.5,89.1,90,91.3,92.2,93.6,96.1,98.6,99.9,100.8,102.2,103.1,104.7,107.5
